N,P,K,temperature,humidity,ph,rainfall,label,EC,Calcium,Magnesium,Sulfur,Iron,Manganese,Zinc,Copper,Boron,Molybdenum,CEC,Fertilizer Recommendation
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,2.244876306,4519.407063,144.9697834,23.54078118,26.03373051,48.69758453,0.3682001,3.257513602,2.467990759,0.950948718,11.8102491,Lime (Increase pH)
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,0.298886509,3310.645961,200.5246566,23.16932642,8.110571917,13.59815472,8.940640036,1.001701371,3.69524931,0.897394605,26.97183926,Gypsum (Reduce pH)
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,1.994894665,4039.025516,423.1377774,93.53014027,23.70989162,31.77693135,5.266960268,1.13351794,1.50104832,0.207738986,11.03816474,Lime (Increase pH)
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,0.699881353,4799.671973,234.9181915,34.06455217,15.44429097,16.46901423,9.303268884,4.27326059,2.193954289,0.197341804,20.18851588,"Balanced soil, no additional fertilizer needed"
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,0.363605727,2585.187583,257.952621,65.0142303,8.749926244,39.38670259,7.838365298,0.742891895,2.812281902,0.203695426,28.85512196,"Balanced soil, no additional fertilizer needed"
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,1.167319106,3924.273496,219.6575982,59.97861809,30.59151155,13.6982244,1.566588469,1.896226187,2.734212614,0.067604614,24.77094072,"Balanced soil, no additional fertilizer needed"
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,2.059737784,3245.750411,216.2345337,82.03624434,34.81217333,25.21274212,9.955627773,3.401362764,1.688529575,0.303397243,16.52398416,"Balanced soil, no additional fertilizer needed"
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,0.698310928,1325.648287,410.6961319,19.45639296,17.66701062,35.03362416,8.330016986,4.231315939,4.194342985,0.34610348,8.245295482,"Balanced soil, no additional fertilizer needed"
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,0.328286033,1502.628798,94.79624834,95.91217529,44.98832906,19.35343328,7.279469946,3.452264248,4.37989514,0.47266387,5.653103535,"Balanced soil, no additional fertilizer needed"
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,1.103124059,1183.032701,194.1669547,37.68150488,8.490108784,26.61082606,7.288992929,4.897877568,3.714810215,0.843428544,32.33407995,"Balanced soil, no additional fertilizer needed"
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1.457208944,4459.559891,478.2095956,31.08235289,9.5163345,48.85649012,9.690272392,3.410462304,2.441024562,0.397231412,26.44961989,"Balanced soil, no additional fertilizer needed"
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,0.748249512,4759.192743,119.0601716,13.33926514,14.62060369,49.51482235,2.7452663,1.131994448,2.598002344,0.289286816,9.43153917,Lime (Increase pH)
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,1.435699823,1218.140228,381.1489517,96.29785411,13.11438164,27.48680725,6.053431009,0.95068505,2.08868837,0.8750465,19.20275938,"Balanced soil, no additional fertilizer needed"
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,1.156167799,1969.888146,495.573076,14.72704049,43.7399983,6.972189135,4.86530849,3.374872368,1.148740211,0.045366702,27.50362358,"Balanced soil, no additional fertilizer needed"
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,0.436494103,2300.451227,76.86464747,46.20736184,29.96799052,40.11523135,9.847427181,1.479739196,0.996398194,0.467005479,31.87392142,"Balanced soil, no additional fertilizer needed"
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,0.320341893,2409.157308,323.1963008,12.2010272,16.15166799,30.52388385,6.62314144,4.803789581,4.067345061,0.297957265,13.87273048,Gypsum (Reduce pH)
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,0.55064073,3204.784508,83.42249468,85.70160597,24.80323897,9.606661351,2.60348874,1.364995422,2.189826614,0.655435301,16.35697424,"Balanced soil, no additional fertilizer needed"
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,1.511549824,1942.400043,392.3375539,26.98251866,22.40925458,26.30291087,8.233390348,3.735809477,2.213569846,0.87968324,6.781703959,"Balanced soil, no additional fertilizer needed"
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,0.726428322,1725.104611,461.0369231,25.14579212,23.90277075,44.72848906,9.578029177,3.640567525,0.456709627,0.216636666,33.01021874,"Balanced soil, no additional fertilizer needed"
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,2.366561717,1334.389496,324.4444892,57.51503805,30.98925515,48.84375479,5.37488948,0.447707637,3.7988577,0.966356581,29.40841175,"Balanced soil, no additional fertilizer needed"
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,0.42608942,2788.410708,204.6028807,25.8431552,1.251233405,40.65852321,0.761104611,2.376077421,2.002636151,0.673297639,25.23711506,"Balanced soil, no additional fertilizer needed"
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,2.101812513,2068.31433,63.31315081,25.4699419,35.81153811,12.88847295,3.539360116,1.078786283,4.25572492,0.690147846,31.87602259,"Balanced soil, no additional fertilizer needed"
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,2.320180372,2286.699856,174.7076797,42.18498122,46.56230824,16.28717228,1.646754556,4.429833292,4.742186112,0.617995742,11.83656696,"Balanced soil, no additional fertilizer needed"
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1.188541264,1617.517728,289.6280524,87.19154539,28.73145923,29.55566119,0.110792612,3.576483188,4.844829413,0.808748922,32.13287401,Lime (Increase pH)
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,1.99653174,1112.216972,218.1198503,36.93371626,49.98398083,8.999614555,8.569411292,4.89156752,3.947368033,0.700141926,7.853865867,"Balanced soil, no additional fertilizer needed"
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,1.437315082,1582.23231,451.332464,47.61450979,18.11476709,48.67581462,1.3813458,2.515555067,1.379359158,0.232449301,23.9726976,"Balanced soil, no additional fertilizer needed"
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,0.558879523,3660.8216,458.6684677,51.87904471,7.747888565,35.11487514,1.055252039,3.732100692,3.339120376,0.895233903,7.866658457,"Balanced soil, no additional fertilizer needed"
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,1.177623473,2921.29206,223.4441195,19.06180867,36.82613751,1.508839222,5.993074217,2.577056739,0.30707574,0.619564994,20.56377524,"Balanced soil, no additional fertilizer needed"
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,1.553077039,4697.05296,396.5267593,50.89400256,6.373121489,14.90911531,4.276980927,0.296972162,3.239700658,0.320300004,36.13848989,"Balanced soil, no additional fertilizer needed"
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,0.321722601,3029.878149,378.4364529,56.65087986,32.35831311,5.401190909,6.514082335,2.551985319,2.727284639,0.180027889,10.12083321,"Balanced soil, no additional fertilizer needed"
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,2.045621152,1169.022051,290.4324632,37.87007039,36.45361618,42.61798572,3.50764444,2.714151279,0.415960531,0.541850657,30.75155951,"Balanced soil, no additional fertilizer needed"
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,1.106170637,2188.238309,464.1003039,46.39382765,26.73320558,22.10101864,9.586171511,2.269978788,1.214123416,0.051997371,18.97738421,"Balanced soil, no additional fertilizer needed"
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1.381195667,3364.602614,360.2169793,35.52579058,21.43930651,34.94256855,3.915495056,0.651687506,3.920262406,0.159533366,18.15657647,"Balanced soil, no additional fertilizer needed"
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,0.884597202,2879.002481,467.4717293,20.60118518,27.2994476,37.25550224,3.466181858,0.891313334,1.637279719,0.447667249,37.15851977,"Balanced soil, no additional fertilizer needed"
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,0.318812271,1814.880276,162.4796542,95.76463942,43.32740747,24.47853767,9.773780803,4.202543339,4.615409481,0.306614025,34.97109549,"Balanced soil, no additional fertilizer needed"
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,0.292985339,1343.781851,133.044437,91.82416207,16.03518297,23.60663503,0.39451794,0.378427002,3.783670037,0.290894656,20.13642691,"Balanced soil, no additional fertilizer needed"
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,0.734794129,2833.804835,394.217337,65.42996292,21.05598093,18.32984139,8.432187776,4.35959063,3.211606396,0.211385544,20.01873121,Lime (Increase pH)
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,2.11476529,1270.485892,326.0114882,19.60941005,10.58345913,6.034044569,4.922902108,0.644631811,4.97103774,0.169931943,17.36396893,Gypsum (Reduce pH)
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,0.876892001,1961.006066,245.4641224,45.50406344,1.643349405,49.25370792,3.104438302,1.010680896,2.090947452,0.619801363,19.27124978,"Balanced soil, no additional fertilizer needed"
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,2.358772161,4928.593598,495.6115027,40.55606381,49.22030343,44.96358275,6.983907827,4.16074052,0.615548848,0.902221386,16.21977906,Gypsum (Reduce pH)
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,1.856723745,4075.492127,75.49361237,58.62114692,36.01878718,1.635267345,7.220466443,4.258133031,1.017414075,0.421771839,22.375071,Lime (Increase pH)
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,2.080363647,2903.804399,182.4915938,58.02723064,3.725424136,31.20682771,5.642069223,4.720398768,1.600414537,0.67897359,38.16222992,"Balanced soil, no additional fertilizer needed"
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,1.5561437,4879.465573,225.8657218,29.81536908,23.90653132,36.25842126,7.071958056,2.542618894,0.169234516,0.515055688,24.46784082,"Balanced soil, no additional fertilizer needed"
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,1.629495548,3567.426171,333.8993577,61.93637895,25.11768201,32.9489865,2.726904333,4.869800288,0.994721369,0.994011825,16.08891511,"Balanced soil, no additional fertilizer needed"
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,1.275869391,2011.162084,147.0192836,36.43359819,33.87091638,31.07456485,8.34536367,3.82081881,4.249882908,0.561459342,11.58778326,"Balanced soil, no additional fertilizer needed"
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,1.034976019,1352.990767,401.0492434,88.1231311,43.18310137,41.98772385,0.727732461,2.903847513,4.998675129,0.272228775,11.55846698,"Balanced soil, no additional fertilizer needed"
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,0.590149497,2663.310072,363.1526862,48.10920501,42.5283983,11.03312367,7.899141372,0.539764978,2.652326912,0.183934266,8.372662127,"Balanced soil, no additional fertilizer needed"
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,2.108829322,2983.3875,275.4062767,96.81389909,30.13826541,36.15906078,6.792553881,3.206479516,0.816664845,0.661226468,12.76923946,"Balanced soil, no additional fertilizer needed"
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,1.78158122,4264.83065,125.9606439,66.09819257,28.56645328,37.58264002,8.860311617,0.177465091,1.540568847,0.713022707,16.32589472,"Balanced soil, no additional fertilizer needed"
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,0.23374023,2643.692709,397.9222509,72.78949667,15.04645144,49.20925943,6.747587599,4.648815503,1.207025046,0.823425721,12.3319173,"Balanced soil, no additional fertilizer needed"
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,0.954413042,1663.884378,93.96443119,71.88937806,10.05503862,38.51098275,1.111951881,1.860959365,2.126229309,0.084716987,14.92472374,Gypsum (Reduce pH)
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,2.018470157,3267.749262,236.7319686,86.87967521,24.54770424,4.797166197,2.771328126,4.821323752,2.298731911,0.089528168,24.57508452,"Balanced soil, no additional fertilizer needed"
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,0.953333226,2403.512555,398.6383358,42.32516664,26.8148584,20.37099218,8.683839876,2.190063195,3.24070047,0.531032255,18.26005321,"Balanced soil, no additional fertilizer needed"
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,2.207910999,1796.081993,93.58108417,70.4328062,16.20486255,2.386427221,1.902893342,1.947503933,2.646087824,0.516620493,28.55786022,"Balanced soil, no additional fertilizer needed"
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,0.435578372,1777.933969,499.6475145,76.12899973,28.44393157,7.708222587,9.200244601,3.948920345,1.694319988,0.680886084,31.83160889,"Balanced soil, no additional fertilizer needed"
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,0.45143346,1121.806139,96.73403585,41.86573647,43.02705352,46.79530504,1.182745732,4.081545317,0.116588515,0.586961273,28.90022272,"Balanced soil, no additional fertilizer needed"
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,1.898496584,1401.164997,77.87379518,85.72597178,8.093142068,41.81668105,3.558964349,4.060481872,4.0439957,0.315779683,37.27797568,"Balanced soil, no additional fertilizer needed"
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,1.367105062,3068.419624,192.5379743,26.69431021,1.611272736,4.721847271,2.321031638,4.459491498,4.214261407,0.945176861,38.40910699,"Balanced soil, no additional fertilizer needed"
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,1.321527154,4036.240593,134.3391094,73.39501289,37.16103294,15.42874792,4.748055533,2.490544611,4.40281172,0.711283662,15.03553496,Lime (Increase pH)
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,1.493897371,4228.604896,135.2926805,30.64080644,34.26567614,33.25787842,6.647751538,0.912289594,0.527133914,0.351602692,26.93175301,"Balanced soil, no additional fertilizer needed"
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,0.952901347,2361.704053,123.0156585,81.0839942,46.70669707,48.74541949,7.52012058,3.365316479,3.284189314,0.118845703,34.01041658,"Balanced soil, no additional fertilizer needed"
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,0.904326357,1754.593153,187.5323831,74.20346365,49.80644585,24.71866086,2.322915687,1.020972743,1.224535974,0.053658851,37.30937142,"Balanced soil, no additional fertilizer needed"
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,1.538098946,1407.467017,70.00918581,23.61978823,43.64674944,49.83773388,0.229263615,2.130879312,2.418596184,0.05879604,18.06190898,"Balanced soil, no additional fertilizer needed"
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,0.448130763,1661.677209,205.7806894,26.43935745,7.486259112,22.84408683,2.843019055,2.855612087,1.288452652,0.141783622,31.850709,"Balanced soil, no additional fertilizer needed"
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,1.71850402,4056.500936,301.562189,72.88041205,15.45008601,48.46253461,5.188533049,3.364475265,3.52645528,0.460121577,23.96445096,"Balanced soil, no additional fertilizer needed"
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,1.130168728,4474.926295,217.4691684,93.13863985,15.42459064,42.95810824,3.743864425,4.12924,0.769089745,0.854826418,23.90243456,"Balanced soil, no additional fertilizer needed"
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,1.556613951,2075.135938,381.1833805,41.65010147,11.01330989,3.414685082,0.281237839,1.45884096,3.553868847,0.854932494,22.1167702,Gypsum (Reduce pH)
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,2.341502443,4912.050092,123.1265322,33.80102274,36.11803114,41.44065792,9.162572272,0.23117549,0.692039774,0.256889622,28.99434719,Lime (Increase pH)
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,2.26032493,2126.813048,274.017655,23.04080404,43.0041793,3.396004755,7.161942799,0.613225951,0.749754041,0.057193061,5.169036567,"Balanced soil, no additional fertilizer needed"
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,0.52855207,4767.811889,311.0930815,71.09562086,43.49674938,15.10615778,9.139493085,4.98355329,1.905496871,0.128926939,6.522351052,Gypsum (Reduce pH)
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,2.000634913,3013.752467,267.850049,16.39403107,32.53378182,19.54046441,9.614074242,4.834678248,3.75650316,0.119842244,33.4676181,"Balanced soil, no additional fertilizer needed"
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,2.391476118,3305.850441,435.81206,12.28446821,2.117781278,37.8889922,7.931674561,0.844734776,2.289265182,0.285104686,24.09733275,"Balanced soil, no additional fertilizer needed"
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,1.683118322,1922.349976,361.5115966,51.39068044,31.28366615,2.176347161,4.006797431,4.4740496,0.752275634,0.890398169,28.00576195,"Balanced soil, no additional fertilizer needed"
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,0.749995022,1901.345475,264.6454899,23.6160158,38.3501012,32.98173751,9.231674053,0.453671098,2.061183901,0.265342574,36.76704162,"Balanced soil, no additional fertilizer needed"
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,2.038868572,3661.828632,373.9937153,27.68113869,41.69395399,19.24440637,2.55723747,2.252608286,0.152207575,0.805747958,18.49226064,Lime (Increase pH)
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,0.241179117,3501.832144,460.2663523,53.23250679,6.005583457,41.45934398,4.861130411,3.34503498,1.056029032,0.278177377,38.37798992,"Balanced soil, no additional fertilizer needed"
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,0.397145903,1828.175741,379.1990921,19.01934743,39.03033862,20.49977,4.994918961,1.216900936,3.999435813,0.749510674,36.69712509,Lime (Increase pH)
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,1.239332859,2613.574203,253.3241215,62.94324934,9.150242942,18.05210115,2.871258066,4.054718505,2.158009298,0.759378636,5.603452067,"Balanced soil, no additional fertilizer needed"
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,0.904620828,3721.303278,463.1557147,41.50196563,40.7047154,45.4776885,9.21468683,1.937280062,3.966924381,0.162608963,32.49186251,Lime (Increase pH)
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,0.222022544,1367.205076,54.85955085,95.10694807,28.75755529,40.31364417,5.031919045,2.268448554,1.061409493,0.937403577,16.71001637,"Balanced soil, no additional fertilizer needed"
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,1.868919327,2395.153693,129.7953218,44.81690164,36.49962325,47.32826742,4.576971779,2.267855836,0.932515224,0.995978836,30.5081843,"Balanced soil, no additional fertilizer needed"
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,1.06177982,4668.506429,264.1247597,73.25066441,15.23982562,39.40311836,6.968970806,2.122377951,4.285688497,0.14349549,9.80586724,"Balanced soil, no additional fertilizer needed"
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,1.136186611,3259.647115,441.2686752,35.64852593,27.02748608,48.32106475,1.77926764,3.973138204,2.0083199,0.273315582,19.38584192,"Balanced soil, no additional fertilizer needed"
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,1.534668514,3515.847217,124.5038229,67.23773693,32.47655196,6.372193232,2.81020002,2.832525357,2.7428355,0.449006794,16.82253356,Gypsum (Reduce pH)
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,1.113520001,1998.699679,141.8612726,57.87775528,23.02762104,45.48758358,1.951427056,2.561780999,4.004471077,0.994514234,18.55789983,"Balanced soil, no additional fertilizer needed"
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,2.189249539,2479.308394,298.5678467,76.99795732,46.49094913,11.43231119,2.267602249,0.972752846,3.886420676,0.202926291,39.6897151,"Balanced soil, no additional fertilizer needed"
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,1.134031088,4175.819728,325.1599738,95.42405938,2.279405121,18.49755498,6.066507542,4.3575523,1.339513667,0.864386161,8.864728869,"Balanced soil, no additional fertilizer needed"
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,1.634609506,4071.498088,59.70373359,69.38564079,47.53838873,1.122889962,7.390367901,1.603521195,3.688914718,0.268272754,24.5958992,"Balanced soil, no additional fertilizer needed"
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,2.199916274,1606.005505,208.2797163,80.90981926,29.08641894,14.56174351,5.326785352,0.524172377,3.698706345,0.852790377,24.33812784,"Balanced soil, no additional fertilizer needed"
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,1.33855963,2790.711921,112.3565695,56.64081875,2.117958926,37.8889664,4.38837259,1.864583065,3.382280225,0.224138361,13.43596472,Lime (Increase pH)
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,0.612744222,1689.70376,386.297036,22.19295901,41.55452405,1.134336865,3.814593378,2.852852048,0.184029057,0.399582781,38.51028203,Muriate of Potash (High Potassium)
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,0.207886432,1986.347884,199.867673,34.65741745,8.432249098,21.80020158,3.254879095,4.14396548,3.937180332,0.288740382,14.26087937,Muriate of Potash (High Potassium)
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,1.37237825,3510.777758,319.5196215,23.00486068,24.89471991,36.84322109,3.768792931,2.133908935,4.241400945,0.49724592,23.14422829,Muriate of Potash (High Potassium)
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,0.724596219,2193.259941,194.1887345,29.67165366,26.48897222,10.38661896,1.775140532,4.390306151,2.770109165,0.651752447,16.42471197,Muriate of Potash (High Potassium)
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,2.232092899,3745.438307,124.5053133,72.31409604,26.79320199,36.93604063,8.408875108,0.88893211,2.77411725,0.683316642,10.41322903,Muriate of Potash (High Potassium)
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,1.349354873,1452.41858,63.762687,19.17934993,34.81718457,38.2620454,5.127428572,3.263664962,2.724294436,0.337277592,38.02932237,Muriate of Potash (High Potassium)
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,1.421690839,4741.51136,439.5115382,32.88663988,14.04940471,36.89082028,1.958307739,1.410735982,2.69735891,0.747450177,13.93854606,Muriate of Potash (High Potassium)
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,1.918805963,3027.156099,59.34244879,31.27617181,20.13842145,1.966731275,3.495579996,2.021499455,3.509516467,0.077613839,14.00537849,Muriate of Potash (High Potassium)
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,0.707904186,3988.772247,67.25127669,26.81712507,46.68401514,32.46175956,0.631329054,2.604743627,3.613291372,0.3320936,10.48481816,Muriate of Potash (High Potassium)
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,1.859262899,1362.607354,357.2604885,47.32709226,13.03970157,35.89436879,7.578854823,4.153255856,2.514808439,0.290754312,30.35352492,Muriate of Potash (High Potassium)
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,2.311910475,1848.158087,318.2122031,89.60943946,14.00974252,19.98039521,4.334405778,1.193125467,1.001289443,0.285124096,16.418791,Muriate of Potash (High Potassium)
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,0.216208334,2715.331116,192.7459322,25.60516705,48.2511201,43.6238945,8.907489495,0.80702699,2.2990832,0.760193941,14.78133336,Muriate of Potash (High Potassium)
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,0.821548621,3592.142887,209.8380211,96.43665124,10.98105012,35.91556206,9.464432539,4.71527919,4.414504705,0.744942129,36.09274534,Muriate of Potash (High Potassium)
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,0.662613317,2023.953524,90.7350922,15.61784059,27.91195895,45.71800362,4.334483209,2.363843497,2.575917829,0.357340263,27.77658478,Muriate of Potash (High Potassium)
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,1.572351612,1031.35704,263.6414212,76.19740621,15.84814986,8.336699661,6.338192319,1.848813869,1.042236921,0.979560415,31.83829269,Muriate of Potash (High Potassium)
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,2.441587818,4701.240528,156.4105356,83.3020033,19.97688762,7.937123989,3.869305316,2.78832747,3.430590297,0.988769635,37.09775982,Muriate of Potash (High Potassium)
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,1.117749138,1849.168042,279.0876887,22.89146008,16.51246694,22.19394432,8.625830477,4.534904431,2.195099658,0.042729851,27.04840953,Muriate of Potash (High Potassium)
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,2.306266191,2663.25582,281.0030956,66.05912641,40.59566755,10.14272331,4.512145882,4.820177017,4.307728108,0.121009464,13.53698905,Muriate of Potash (High Potassium)
